1##1	سمو اله رحم رحم
7##101	قری قصص نبا جیا رسل بین كون امن كذب قبل طبع اله قلب كفر
7##102	وجد كثر عهد وجد كثر فسق
7##103	بعث بعد ایی ملا ظلم نظر كیف كون عقب فسد
7##104	قول رسل ربب علم
7##105	حقق قول اله حقق جیا بین ربب رسل بنی
7##106	قول كون جیا ایی اتی كون صدق
7##107	لقی عصو ثعب بین
7##108	نزع یدی بیض نظر
7##109	قول ملا قوم سحر علم
7##110	رود خرج ارض امر
7##111	قول رجو اخو رسل مدن حشر
7##112	اتی كلل سحر علم
7##113	جیا سحر قول اجر كون غلب
7##114	قول قرب
7##115	قول لقی كون لقی
7##116	قول لقی لقی سحر عین نوس رهب جیا سحر عظم
7##117	وحی لقی عصو لقف افك
7##118	وقع حقق بطل كون عمل
7##119	غلب قلب صغر
7##120	لقی سحر سجد
7##121	قول امن ربب علم
7##122	ربب
7##123	قول امن قبل اذن مكر مكر مدن خرج اهل علم
7##124	قطع یدی رجل خلف صلب جمع
7##125	قول ربب قلب
7##126	نقم امن ایی ربب جیا ربب فرغ صبر وفی سلم
7##127	قول ملا قوم وذر قوم فسد ارض وذر اله قول قتل بنی حیی نسو فوق قهر
7##128	قول قوم عون اله صبر ارض اله ورث شیا عبد عقب وقی
7##129	قول اذی قبل اتی بعد جیا قول عسی ربب هلك عدو خلف ارض نظر كیف عمل
7##130	اخذ اول سنو نقص ثمر ذكر
7##131	جیا حسن قول صوب سوا طیر طیر عند اله كثر علم
7##132	قول اتی ایی سحر امن
7##133	رسل طوف جرد قمل ضفدع دمو ایی فصل كبر كون قوم جرم
7##134	وقع رجز قول دعو ربب عهد عند كشف رجز امن رسل بنی
7##135	كشف رجز اجل بلغ نكث
7##136	نقم غرق یمم كذب ایی كون غفل
7##137	ورث قوم كون ضعف شرق ارض غرب برك تمم كلم ربب حسن بنی صبر دمر كون صنع قوم كون عرش
7##138	جوز بنی بحر اتی قوم عكف صنم قول جعل اله اله قول قوم جهل
7##139	تبر بطل كون عمل
7##140	قول غیر اله بغی اله فضل علم
7##141	نجو اول سوم سوا عذب قتل بنی حیی نسو بلو ربب عظم
7##142	وعد ثلث لیل تمم عشر تمم وقت ربب ربع لیل قول اخو خلف قوم صلح تبع سبل فسد
7##143	جیا وقت كلم ربب قول ربب رای نظر قول رای نظر جبل قرر كون رای جلو ربب جبل جعل دكك خرر صعق فوق قول سبح توب اول امن
7##144	قول صفو نوس رسل كلم اخذ اتی كون شكر
7##145	كتب لوح كلل شیا وعظ فصل كلل شیا اخذ قوی امر قوم اخذ حسن رای دور فسق
7##146	صرف ایی كبر ارض غیر حقق رای كلل ایی امن رای سبل رشد اخذ سبل رای سبل غوی اخذ سبل كذب ایی كون غفل
7##147	كذب ایی لقی اخر حبط عمل جزی كون عمل
7##148	اخذ قوم بعد حلی عجل جسد خور رای كلم هدی سبل اخذ كون ظلم
7##149	سقط یدی رای ضلل قول رحم ربب غفر كون خسر
7##150	رجع قوم غضب اسف قول باس خلف بعد عجل امر ربب لقی لوح اخذ راس اخو جرر قول بنی امم قوم ضعف كود قتل شمت عدو جعل قوم ظلم
7##151	قول ربب غفر اخو دخل رحم رحم رحم
7##152	اخذ عجل نیل غضب ربب ذلل حیی دنو جزی فری
7##153	عمل سوا توب بعد امن ربب بعد غفر رحم
7##154	سكت غضب اخذ لوح نسخ هدی رحم ربب رهب
7##155	خیر قوم سبع رجل وقت اخذ رجف قول ربب شیا هلك قبل هلك فعل سفه فتن ضلل شیا هدی شیا ولی غفر رحم خیر غفر
7##156	كتب دنو حسن اخر هود قول عذب صوب شیا رحم وسع كلل شیا كتب وقی اتی زكو ایی امن
7##157	تبع رسل نبا امم وجد كتب عند امر عرف نهی نكر حلل طیب حرم خبث وضع اصر غلل كون امن عزر نصر تبع نور نزل فلح
7##158	قول نوس رسل اله جمع ملك سمو ارض اله حیی موت امن اله رسل نبا امم امن اله كلم تبع هدی
7##159	قوم امم هدی حقق عدل
7##160	قطع ثنی عشر سبط امم وحی سقی قوم ضرب عصو حجر بجس ثنی عشر عین علم كلل انس شرب ظلل غمم نزل منن سلو اكل طیب رزق ظلم كون نفس ظلم
7##161	قول سكن قری اكل حیث شیا قول حطط دخل بوب سجد غفر خطا زید حسن
7##162	بدل ظلم قول غیر قول رسل رجز سمو كون ظلم
7##163	سال قری كون حضر بحر عدو سبت اتی حوت یوم سبت شرع یوم سبت اتی بلو كون فسق
7##164	قول امم وعظ قوم اله هلك عذب عذب شدد قول عذر ربب وقی
7##165	نسی ذكر نجو نهی سوا اخذ ظلم عذب باس كون فسق
7##166	عتو نهی قول كون قرد خسا
7##167	اذن ربب بعث یوم قوم سوم سوا عذب ربب سرع عقب غفر رحم
7##168	قطع ارض امم صلح دون بلو حسن سوا رجع
7##169	خلف بعد خلف ورث كتب اخذ عرض دنو قول غفر اتی عرض مثل اخذ اخذ وثق كتب قول اله حقق درس دور اخر خیر وقی عقل
7##170	مسك كتب قوم صلو ضیع اجر صلح
7##171	نتق جبل فوق ظلل ظنن وقع اخذ اتی قوی ذكر وقی
7##172	اخذ ربب بنی ظهر ذرر شهد نفس لیس ربب قول شهد قول یوم قوم كون غفل
7##173	قول شرك ابو قبل كون ذرر بعد هلك فعل بطل
7##174	فصل ایی رجع
7##175	تلو نبا اتی ایی سلخ تبع شطن كون غوی
7##176	شیا رفع خلد ارض تبع هوی مثل مثل كلب حمل لهث ترك لهث مثل قوم كذب ایی قصص قصص فكر
7##177	سوا مثل قوم كذب ایی نفس كون ظلم
7##178	هدی اله هدی ضلل خسر
7##179	ذرا كثر جنن انس قلب فقه عین بصر اذن سمع نعم ضلل غفل
7##180	اله سمو حسن دعو وذر لحد سمو جزی كون عمل
7##181	خلق امم هدی حقق عدل
7##182	كذب ایی درج حیث علم
7##183	ملو كید متن
7##184	فكر صحب جنن نذر بین
7##185	نظر ملك سمو ارض خلق اله شیا عسی كون قرب اجل حدث بعد امن
7##186	ضلل اله هدی وذر طغی عمه
7##187	سال سوع رسو قول علم عند ربب جلو وقت ثقل سمو ارض اتی بغت سال حفو قول علم عند اله كثر نوس علم
7##188	قول ملك نفس نفع ضرر شیا اله كون علم غیب كثر خیر مسس سوا نذر بشر قوم امن
7##189	خلق نفس وحد جعل زوج سكن غشو حمل حمل خفف مرر ثقل دعو اله ربب اتی صلح كون شكر
7##190	اتی صلح جعل شرك اتی علو اله شرك
7##191	شرك خلق شیا خلق
7##192	طوع نصر نفس نصر
7##193	دعو هدی تبع سوی دعو صمت
7##194	دعو دون اله عبد مثل دعو جوب كون صدق
7##195	رجل مشی یدی بطش عین بصر اذن سمع قول دعو شرك كید نظر
7##196	ولی اله نزل كتب ولی صلح
7##197	دعو دون طوع نصر نفس نصر
7##198	دعو هدی سمع رای نظر بصر
7##199	اخذ عفو امر عرف عرض جهل
7##200	نزغ شطن نزغ عوذ اله سمع علم
7##201	وقی مسس طوف شطن ذكر بصر
7##202	اخو مدد غوی قصر
7##203	اتی ایی قول جبی قول تبع وحی ربب بصر ربب هدی رحم قوم امن
7##204	قرا قرا سمع نصت رحم
7##205	ذكر ربب نفس ضرع خوف دون جهر قول غدو اصل كون غفل
7##206	عند ربب كبر عبد سبح سجد
8##1	سال نفل قول نفل اله رسل وقی اله صلح بین طوع اله رسل كون امن
8##2	امن ذكر اله وجل قلب تلو ایی زید امن ربب وكل
8##3	قوم صلو رزق نفق
8##4	امن حقق درج عند ربب غفر رزق كرم
8##5	خرج ربب بیت حقق فرق امن كره
8##6	جدل حقق بعد بین سوق موت نظر
8##7	وعد اله احد طوف ودد غیر شوك كون رود اله حقق حقق كلم قطع دبر كفر
8##8	حقق حقق بطل بطل كره جرم
8##9	غوث ربب جوب مدد الف ملك ردف
8##10	جعل اله بشر طمن قلب نصر عند اله اله عزز حكم
8##11	غشو نعس امن نزل سمو موه طهر ذهب رجز شطن ربط قلب ثبت قدم
8##12	وحی ربب ملك ثبت امن لقی قلب كفر رعب ضرب فوق عنق ضرب كلل بنن
8##13	شقق اله رسل شقق اله رسل اله شدد عقب
8##14	ذوق كفر عذب نور
8##15	امن لقی كفر زحف ولی دبر
8##16	ولی دبر حرف قتل حوز فای بوا غضب اله اوی باس صیر
8##17	قتل اله قتل رمی رمی اله رمی بلو امن بلو حسن اله سمع علم
8##18	اله وهن كید كفر
8##19	فتح جیا فتح نهی خیر عود عود غنی فای شیا كثر اله امن
8##20	امن طوع اله رسل ولی سمع
8##21	كون قول سمع سمع
8##22	شرر دبب عند اله صمم بكم عقل
8##23	علم اله خیر سمع سمع ولی عرض
8##24	امن جوب اله رسل دعو حیی علم اله حول بین مرا قلب حشر
8##25	وقی فتن صوب ظلم خصص علم اله شدد عقب
8##26	ذكر قلل ضعف ارض خوف خطف نوس اوی اید نصر رزق طیب شكر
8##27	امن خون اله رسل خون امن علم
8##28	علم مول ولد فتن اله عند اجر عظم
8##29	امن وقی اله جعل فرق كفر سوا غفر اله فضل عظم
8##30	مكر كفر ثبت قتل خرج مكر مكر اله اله خیر مكر
8##31	تلو ایی قول سمع شیا قول مثل سطر اول
8##32	قول اله كون حقق عند مطر حجر سمو اتی عذب الم
8##33	كون اله عذب كون اله عذب غفر
8##34	عذب اله صدد سجد حرم كون ولی ولی وقی كثر علم
8##35	كون صلو عند بیت مكو صدی ذوق عذب كون كفر
8##36	كفر نفق مول صدد سبل اله نفق كون حسر غلب كفر حشر
8##37	میز اله خبث طیب جعل خبث بعض بعض ركم جمع جعل خسر
8##38	قول كفر نهی غفر سلف عود مضی سنن اول
8##39	قتل كون فتن كون دین كلل اله نهی اله عمل بصر
8##40	ولی علم اله ولی نعم ولی نعم نصر
8##41	علم غنم شیا اله خمس رسل قرب یتم سكن بنی سبل كون امن اله نزل عبد یوم فرق یوم لقی جمع اله كلل شیا قدر
8##42	عدو دنو عدو قصو ركب سفل وعد خلف وعد قضی اله امر كون فعل هلك هلك بین حیی حیی بین اله سمع علم
8##43	رای اله نوم قلل رای كثر فشل نزع امر اله سلم علم صدر
8##44	رای لقی عین قلل قلل عین قضی اله امر كون فعل اله رجع امر
8##45	امن لقی فای ثبت ذكر اله كثر فلح
8##46	طوع اله رسل نزع فشل ذهب روح صبر اله صبر
8##47	كون خرج دور بطر رای نوس صدد سبل اله اله عمل حوط
8##48	زین شطن عمل قول غلب یوم نوس جور رای فای نكص عقب قول برا رای رای خوف اله اله شدد عقب
8##49	قول نفق قلب مرض غرر دین وكل اله اله عزز حكم
8##50	رای وفی كفر ملك ضرب وجه دبر ذوق عذب حرق
8##51	قدم یدی اله لیس ظلم عبد
8##52	داب اول قبل كفر ایی اله اخذ اله ذنب اله قوی شدد عقب
8##53	اله كون غیر نعم نعم قوم غیر نفس اله سمع علم
8##54	داب اول قبل كذب ایی ربب هلك ذنب غرق اول كلل كون ظلم
8##55	شرر دبب عند اله كفر امن
8##56	عهد نقض عهد كلل مرر وقی
8##57	ثقف حرب شرد خلف ذكر
8##58	خوف قوم خون نبذ سوی اله حبب خون
8##59	حسب كفر سبق عجز
8##60	عدد طوع قوی ربط خیل رهب عدو اله عدو اخر دون علم اله علم نفق شیا سبل اله وفی ظلم
8##61	جنح سلم جنح وكل اله سمع علم
8##62	رود خدع حسب اله اید نصر امن
8##63	الف بین قلب نفق ارض جمع الف بین قلب اله الف بین عزز حكم
8##64	نبا حسب اله تبع امن
8##65	نبا حرض امن قتل كون عشر صبر غلب مای كون مای غلب الف كفر قوم فقه
8##66	خفف اله علم ضعف كون مای صبر غلب مای كون الف غلب الف اذن اله اله صبر
8##67	كون نبا كون اسر ثخن ارض رود عرض دنو اله رود اخر اله عزز حكم
8##68	كتب اله سبق مسس اخذ عذب عظم
8##69	اكل غنم حلل طیب وقی اله اله غفر رحم
8##70	نبا قول یدی اسر علم اله قلب خیر اتی خیر اخذ غفر اله غفر رحم
8##71	رود خون خون اله قبل مكن اله علم حكم
8##72	امن هجر جهد مول نفس سبل اله اوی نصر بعض ولی بعض امن هجر ولی شیا هجر نصر دین نصر قوم بین بین وثق اله عمل بصر
8##73	كفر بعض ولی بعض فعل كون فتن ارض فسد كبر
8##74	امن هجر جهد سبل اله اوی نصر امن حقق غفر رزق كرم
8##75	امن بعد هجر جهد اول رحم بعض ولی بعض كتب اله اله كلل شیا علم
9##1	برا اله رسل عهد شرك
9##2	سیح ارض ربع شهر علم غیر عجز اله اله خزی كفر
9##3	اذن اله رسل نوس یوم حجج كبر اله برا شرك رسل توب خیر ولی علم غیر عجز اله بشر كفر عذب الم
9##4	عهد شرك نقص شیا ظهر احد تمم عهد مدد اله حبب وقی
9##5	سلخ شهر حرم قتل شرك حیث وجد اخذ حصر قعد كلل رصد توب قوم صلو اتی زكو خلو سبل اله غفر رحم
9##6	احد شرك جور جور سمع كلم اله بلغ امن قوم علم
9##7	كیف كون شرك عهد عند اله عند رسل عهد عند سجد حرم قوم قوم اله حبب وقی
9##8	كیف ظهر رقب الل ذمم رضو فوه ابی قلب كثر فسق
9##9	شری ایی اله ثمن قلل صدد سبل سوا كون عمل
9##10	رقب امن الل ذمم عدو
9##11	توب قوم صلو اتی زكو اخو دین فصل ایی قوم علم
9##12	نكث یمن بعد عهد طعن دین قتل امم كفر یمن نهی
9##13	قتل قوم نكث یمن همم خرج رسل بدا اول مرر خشی اله حقق خشی كون امن
9##14	قتل عذب اله یدی خزی نصر شفی صدر قوم امن
9##15	ذهب غیظ قلب توب اله شیا اله علم حكم
9##16	حسب ترك علم اله جهد اخذ دون اله رسل امن ولج اله خبر عمل
9##17	كون شرك عمر سجد اله شهد نفس كفر حبط عمل نور خلد
9##18	عمر سجد اله امن اله یوم اخر قوم صلو اتی زكو خشی اله عسی كون هدی
9##19	جعل سقی حجج عمر سجد حرم امن اله یوم اخر جهد سبل اله سوی عند اله اله هدی قوم ظلم
9##20	امن هجر جهد سبل اله مول نفس عظم درج عند اله فوز
9##21	بشر ربب رحم رضو جنن نعم قوم
9##22	خلد ابد اله عند اجر عظم
9##23	امن اخذ ابو اخو ولی حبب كفر امن ولی ظلم
9##24	قول كون ابو بنی اخو زوج عشر مول قرف تجر خشی كسد سكن رضو حبب اله رسل جهد سبل ربص اتی اله امر اله هدی قوم فسق
9##25	نصر اله وطن كثر یوم عجب كثر غنی شیا ضیق ارض رحب ولی دبر
9##26	نزل اله سكن رسل امن نزل جند رای عذب كفر جزی كفر
9##27	توب اله بعد شیا اله غفر رحم
9##28	امن شرك نجس قرب سجد حرم بعد عوم خوف عیل غنی اله فضل شیا اله علم حكم
9##29	قتل امن اله یوم اخر حرم حرم اله رسل دین دین حقق اتی كتب عطو جزی یدی صغر
9##30	قول بنی اله قول نصر بنی اله قول فوه ضها قول كفر قبل قتل اله انی افك
9##31	اخذ حبر رهب ربب دون اله بنی امر عبد اله وحد اله سبح شرك
9##32	رود طفا نور اله فوه ابی اله تمم نور كره كفر
9##33	رسل رسل هدی دین حقق ظهر دین كلل كره شرك
9##34	امن كثر حبر رهب اكل مول نوس بطل صدد سبل اله كنز ذهب فضض نفق سبل اله بشر عذب الم
9##35	یوم حمی نور كوی جبه جنب ظهر كنز نفس ذوق كون كنز
9##36	عدد شهر عند اله ثنی عشر شهر كتب اله یوم خلق سمو ارض ربع حرم دین قوم ظلم نفس قتل شرك كفف قتل كفف علم اله وقی
9##37	نسا زید كفر ضلل كفر حلل عوم حرم عوم وطا عدد حرم اله حلل حرم اله زین سوا عمل اله هدی قوم كفر
9##38	امن قول نفر سبل اله ثقل ارض رضو حیی دنو اخر متع حیی دنو اخر قلل
9##39	نفر عذب عذب الم بدل قوم غیر ضرر شیا اله كلل شیا قدر
9##40	نصر نصر اله خرج كفر ثنی ثنی غور قول صحب حزن اله نزل اله سكن اید جند رای جعل كلم كفر سفل كلم اله علو اله عزز حكم
9##41	نفر خفف ثقل جهد مول نفس سبل اله خیر كون علم
9##42	كون عرض قرب سفر قصد تبع بعد شقق حلف اله طوع خرج هلك نفس اله علم كذب
9##43	عفو اله اذن بین صدق علم كذب
9##44	اذن امن اله یوم اخر جهد مول نفس اله علم وقی
9##45	اذن امن اله یوم اخر ریب قلب ریب ردد
9##46	رود خرج عدد عدد كره اله بعث ثبط قول قعد قعد
9##47	خرج زید خبل وضع خلل بغی فتن سمع اله علم ظلم
9##48	بغی فتن قبل قلب امر جیا حقق ظهر امر اله كره
9##49	قول اذن فتن فتن سقط حوط كفر
9##50	صوب حسن سوا صوب صوب قول اخذ امر قبل ولی فرح
9##51	قول صوب كتب اله ولی اله وكل امن
9##52	قول ربص احد حسن ربص صوب اله عذب عند یدی ربص ربص
9##53	قول نفق طوع كره قبل كون قوم فسق
9##54	منع قبل نفق كفر اله رسل اتی صلو كسل نفق كره
9##55	عجب مول ولد رود اله عذب حیی دنو زهق نفس كفر
9##56	حلف اله قوم فرق
9##57	وجد لجا غور دخل ولی جمح
9##58	لمز صدق عطو رضو عطو سخط
9##59	رضو اتی اله رسل قول حسب اله اتی اله فضل رسل اله رغب
9##60	صدق فقر سكن عمل الف قلب رقب غرم سبل اله بنی سبل فرض اله اله علم حكم
9##61	اذی نبا قول اذن قول اذن خیر امن اله امن امن رحم امن اذی رسل اله عذب الم
9##62	حلف اله رضو اله رسل حقق رضو كون امن
9##63	علم حدد اله رسل نور خلد خزی عظم
9##64	حذر نفق نزل سور نبا قلب قول هزا اله خرج حذر
9##65	سال قول كون خوض لعب قول اله ایی رسل كون هزا
9##66	عذر كفر بعد امن عفو طوف عذب طوف كون جرم
9##67	نفق نفق بعض بعض امر نكر نهی عرف قبض یدی نسی اله نسی نفق فسق
9##68	وعد اله نفق نفق كفر نور خلد حسب لعن اله عذب قوم
9##69	قبل كون شدد قوی كثر مول ولد متع خلق متع خلق متع قبل خلق خوض خوض حبط عمل دنو اخر خسر
9##70	اتی نبا قبل قوم عود قوم صحب افك اتی رسل بین كون اله ظلم كون نفس ظلم
9##71	امن امن بعض ولی بعض امر عرف نهی نكر قوم صلو اتی زكو طوع اله رسل رحم اله اله عزز حكم
9##72	وعد اله امن امن جنن جری تحت نهر خلد سكن طیب جنن رضو اله كبر فوز عظم
9##73	نبا جهد كفر نفق غلظ اوی باس صیر
9##74	حلف اله قول قول كلم كفر كفر بعد سلم همم نیل نقم غنی اله رسل فضل توب كون خیر ولی عذب اله عذب الم دنو اخر ارض ولی نصر
9##75	عهد اله اتی فضل صدق كون صلح
9##76	اتی فضل بخل ولی عرض
9##77	عقب نفق قلب یوم لقی خلف اله وعد كون كذب
9##78	علم اله علم سرر نجو اله علم غیب
9##79	لمز طوع امن صدق وجد جهد سخر سخر اله عذب الم
9##80	غفر غفر غفر سبع مرر غفر اله كفر اله رسل اله هدی قوم فسق
9##81	فرح خلف قعد خلف رسل اله كره جهد مول نفس سبل اله قول نفر حرر قول نور شدد حرر كون فقه
9##82	ضحك قلل بكی كثر جزی كون كسب
9##83	رجع اله طوف اذن خرج قول خرج ابد قتل عدو رضو قعد اول مرر قعد خلف
9##84	صلو احد موت ابد قوم قبر كفر اله رسل موت فسق
9##85	عجب مول ولد رود اله عذب دنو زهق نفس كفر
9##86	نزل سور امن اله جهد رسل اذن اول طول قول وذر كون قعد
9##87	رضو كون خلف طبع قلب فقه
9##88	رسل امن جهد مول نفس خیر فلح
9##89	عدد اله جنن جری تحت نهر خلد فوز عظم
9##90	جیا عذر عرب اذن قعد كذب اله رسل صوب كفر عذب الم
9##91	لیس ضعف مرض وجد نفق حرج نصح اله رسل حسن سبل اله غفر رحم
9##92	اتی حمل قول وجد حمل ولی عین فیض دمع حزن وجد نفق
9##93	سبل اذن غنی رضو كون خلف طبع اله قلب علم
9##94	عذر رجع قول عذر امن نبا اله خبر رای اله عمل رسل ردد علم غیب شهد نبا كون عمل
9##95	حلف اله قلب عرض عرض رجس اوی جزی كون كسب
9##96	حلف رضو رضو اله رضو قوم فسق
9##97	عرب شدد كفر نفق جدر علم حدد نزل اله رسل اله علم حكم
9##98	عرب اخذ نفق غرم ربص دور دور سوا اله سمع علم
9##99	عرب امن اله یوم اخر اخذ نفق قرب عند اله صلو رسل قرب دخل اله رحم اله غفر رحم
9##100	سبق اول هجر نصر تبع حسن رضو اله رضو عدد جنن جری تحت نهر خلد ابد فوز عظم
9##101	حول عرب نفق اهل مدن مرد نفق علم علم عذب مرر ردد عذب عظم
9##102	اخر عرف ذنب خلط عمل صلح اخر سوا عسی اله توب اله غفر رحم
9##103	اخذ مول صدق طهر زكو صلو صلو سكن اله سمع علم
9##104	علم اله قبل توب عبد اخذ صدق اله توب رحم
9##105	قول عمل رای اله عمل رسل امن ردد علم غیب شهد نبا كون عمل
9##106	اخر رجو امر اله عذب توب اله علم حكم
9##107	اخذ سجد ضرر كفر فرق بین امن رصد حرب اله رسل قبل حلف رود حسن اله شهد كذب
9##108	قوم ابد سجد اسس وقی اول یوم حقق قوم رجل حبب طهر اله حبب طهر
9##109	اسس بنی وقی اله رضو خیر اسس بنی شفو جرف هور هور نور اله هدی قوم ظلم
9##110	زیل بنی بنی ریب قلب قطع قلب اله علم حكم
9##111	اله شری امن نفس مول جنن قتل سبل اله قتل قتل وعد حقق قرا وفی عهد اله بشر بیع بیع فوز عظم
9##112	توب عبد حمد سیح ركع سجد امر عرف نهی نكر حفظ حدد اله بشر امن
9##113	كون نبا امن غفر شرك كون اول قرب بعد بین صحب جحم
9##114	كون غفر ابو وعد وعد بین عدو اله برا اوه حلم
9##115	كون اله ضلل قوم بعد هدی بین وقی اله كلل شیا علم
9##116	اله ملك سمو ارض حیی موت دون اله ولی نصر
9##117	توب اله نبا هجر نصر تبع سوع عسر بعد كود زیغ قلب فرق توب راف رحم
9##118	ثلث خلف ضیق ارض رحب ضیق نفس ظنن لجا اله توب توب اله توب رحم
9##119	امن وقی اله كون صدق
9##120	كون اهل مدن حول عرب خلف رسل اله رغب نفس نفس صوب ظما نصب خمص سبل اله وطا وطا غیظ كفر نیل عدو نیل كتب عمل صلح اله ضیع اجر حسن
9##121	نفق نفق صغر كبر قطع ودی كتب جزی اله حسن كون عمل
9##122	كون امن نفر كفف نفر كلل فرق طوف فقه دین نذر قوم رجع حذر
9##123	امن قتل ولی كفر وجد غلظ علم اله وقی
9##124	نزل سور قول زید امن امن زید امن بشر
9##125	قلب مرض زید رجس رجس موت كفر
9##126	رای فتن كلل عوم مرر مرر توب ذكر
9##127	نزل سور نظر بعض بعض رای احد صرف صرف اله قلب قوم فقه
9##128	جیا رسل نفس عزز عنت حرص امن راف رحم
9##129	ولی قول حسب اله اله وكل ربب عرش عظم
10##1	الٓر ایی كتب حكم
10##2	كون نوس عجب وحی رجل نذر نوس بشر امن قدم صدق عند ربب قول كفر سحر بین
10##3	ربب اله خلق سمو ارض ستت یوم سوی عرش دبر امر شفع بعد اذن اله ربب عبد ذكر
10##4	رجع جمع وعد اله حقق بدا خلق عود جزی امن عمل صلح قسط كفر شرب حمم عذب الم كون كفر
10##5	جعل شمس ضوا قمر نور قدر نزل علم عدد سنو حسب خلق اله حقق فصل ایی قوم علم
10##6	خلف لیل نهر خلق اله سمو ارض ایی قوم وقی
10##7	رجو لقی رضو حیی دنو طمن ایی غفل
10##8	اوی نور كون كسب
10##9	امن عمل صلح هدی ربب امن جری تحت نهر جنن نعم
10##10	دعو سبح اله حیی سلم اخر دعو حمد اله ربب علم
10##11	عجل اله نوس شرر عجل خیر قضی اجل وذر رجو لقی طغی عمه
10##12	مسس انس ضرر دعو جنب قعد قوم كشف ضرر مرر دعو ضرر مسس زین سرف كون عمل
10##13	هلك قرن قبل ظلم جیا رسل بین كون امن جزی قوم جرم
10##14	جعل خلف ارض بعد نظر كیف عمل
10##15	تلو ایی بین قول رجو لقی اتی قرا غیر بدل قول كون بدل لقی نفس تبع وحی خوف عصی ربب عذب یوم عظم
10##16	قول شیا اله تلو دری لبث عمر قبل عقل
10##17	ظلم فری اله كذب كذب ایی فلح جرم
10##18	عبد دون اله ضرر نفع قول شفع عند اله قول نبا اله علم سمو ارض سبح علو شرك
10##19	كون نوس امم وحد خلف كلم سبق ربب قضی بین خلف
10##20	قول نزل ایی ربب قول غیب اله نظر نظر
10##21	ذوق نوس رحم بعد ضرر مسس مكر ایی قول اله سرع مكر رسل كتب مكر
10##22	سیر برر بحر كون فلك جری روح طیب فرح جیا روح عصف جیا موج كلل كون ظنن حوط دعو اله خلص دین نجو كون شكر
10##23	نجو بغی ارض غیر حقق نوس بغی نفس متع حیی دنو رجع نبا كون عمل
10##24	مثل حیی دنو موه نزل سمو خلط نبت ارض اكل نوس نعم اخذ ارض زخرف زین ظنن اهل قدر اتی امر لیل نهر جعل حصد غنی فصل ایی قوم فكر
10##25	اله دعو دور سلم هدی شیا صرط قوم
10##26	حسن حسن زید رهق وجه قتر ذلل صحب جنن خلد
10##27	كسب سوا جزی سوا مثل رهق ذلل اله عصم غشو وجه قطع لیل ظلم صحب نور خلد
10##28	یوم حشر جمع قول شرك كون شرك زیل بین قول شرك كون عبد
10##29	كفی اله شهد بین بین كون عبد غفل
10##30	بلو كلل نفس سلف ردد اله ولی حقق ضلل كون فری
10##31	قول رزق سمو ارض ملك سمع بصر خرج حیی موت خرج موت حیی دبر امر قول اله قول وقی
10##32	اله ربب حقق بعد حقق ضلل انی صرف
10##33	حقق كلم ربب فسق امن
10##34	قول شرك بدا خلق عود قول اله بدا خلق عود انی افك
10##35	قول شرك هدی حقق قول اله هدی حقق هدی حقق حقق تبع هدی هدی كیف حكم
10##36	تبع كثر ظنن ظنن غنی حقق شیا اله علم فعل
10##37	كون قرا فری دون اله صدق بین یدی فصل كتب ریب ربب علم
10##38	قول فری قول اتی سور مثل دعو طوع دون اله كون صدق
10##39	كذب حوط علم اتی اول كذب قبل نظر كیف كون عقب ظلم
10##40	امن امن ربب علم فسد
10##41	كذب قول عمل عمل برا عمل برا عمل
10##42	سمع سمع صمم كون عقل
10##43	نظر هدی عمی كون بصر
10##44	اله ظلم نوس شیا نوس نفس ظلم
10##45	یوم حشر لبث سوع نهر عرف بین خسر كذب لقی اله كون هدی
10##46	رای بعض وعد وفی رجع اله شهد فعل
10##47	كلل امم رسل جیا رسل قضی بین قسط ظلم
10##48	قول وعد كون صدق
10##49	قول ملك نفس ضرر نفع شیا اله كلل امم اجل جیا اجل اخر سوع قدم
10##50	قول رای اتی عذب بیت نهر عجل جرم
10##51	وقع امن كون عجل
10##52	قول ظلم ذوق عذب خلد جزی كون كسب
10##53	نبا حقق قول ربب حقق عجز
10##54	كلل نفس ظلم ارض فدی سرر ندم رای عذب قضی بین قسط ظلم
10##55	اله سمو ارض وعد اله حقق كثر علم
10##56	حیی موت رجع
10##57	نوس جیا وعظ ربب شفی صدر هدی رحم امن
10##58	قول فضل اله رحم فرح خیر جمع
10##59	قول رای نزل اله رزق جعل حرم حلل قول اله اذن اله فری
10##60	ظنن فری اله كذب یوم قوم اله فضل نوس كثر شكر
10##61	كون شان تلو قرا عمل عمل كون شهد فیض عزب ربب ثقل ذرر ارض سمو صغر كبر كتب بین
10##62	ولی اله خوف حزن
10##63	امن كون وقی
10##64	بشر حیی دنو اخر بدل كلم اله فوز عظم
10##65	حزن قول عزز اله جمع سمع علم
10##66	اله سمو ارض تبع دعو دون اله شرك تبع ظنن خرص
10##67	جعل لیل سكن نهر بصر ایی قوم سمع
10##68	قول اخذ اله ولد سبح غنی سمو ارض عند سلط قول اله علم
10##69	قول فری اله كذب فلح
10##70	متع دنو رجع ذوق عذب شدد كون كفر
10##71	تلو نبا قول قوم قوم كون كبر قوم ذكر ایی اله اله وكل جمع امر شرك كون امر غمم قضی نظر
10##72	ولی سال اجر اجر اله امر كون سلم
10##73	كذب نجو فلك جعل خلف غرق كذب ایی نظر كیف كون عقب نذر
10##74	بعث بعد رسل قوم جیا بین كون امن كذب قبل طبع قلب عدو
