1##1	ٱسْم ٱللَّه رَّحْمَٰن رَّحِیم
2##232	إِذَا طَلَّقَ نِسَآء بَلَغَ أَجَل لَا تَعْضُلُ أَن نَكَحَ زَوْج إِذَا تَرَٰضَ بَیْن مَّعْرُوف ذَٰلِك وَعَظْ مَن كَانَ مِن ءَامَنَ ٱللَّه یَوْم آخِر ذَٰلِك أَزْكَيٰ أَطْهَر ٱللَّه عَلِمَ لَا عَلِمَ
2##233	وَٰلِدَٰت یُرْضِعْ وَلَد حَوْل كَامِلَیْن مَن أَرَادَ أَن أَتَمَّ رَّضَاعَة عَلَيٰ مَوْلُود رِزْق كِسْوَت مَّعْرُوف لَا یُكَلِّفُ نَفْس إِلَّا وُسْع لَا یُضَآرَّ وَٰلِدَة وَلَد لَا مَوْلُود وَلَد عَلَيٰ وَارِث مِثْل ذَٰلِك إِن أَرَادَ فِصَال عَن تَرَاض مِن تَشَاوُر لَا جُنَاح عَلَيٰ إِن أَرَادَ أَن تَسْتَرْضِعُ وَلَد لَا جُنَاح عَلَيٰ إِذَا سَلَّمَ مَا آتَي مَّعْرُوف ٱتَّقَيٰ ٱللَّه عَلِمَ أَنّ ٱللَّه مَا عَمِلَ بَصِیر
2##234	ٱلَّذِي تَوَفَّيٰ مِن یَذَرَ زَوْج تَرَبَّصْ نَفْس أَرْبَعَة شَهْر عَشْر إِذَا بَلَغَ أَجَل لَا جُنَاح عَلَيٰ فِي مَا فَعَلَ فِي نَفْس مَّعْرُوف ٱللَّه مَا عَمِلَ خَبِیر
2##235	لَا جُنَاح عَلَيٰ فِي مَا عَرَّضْ مِن خِطْبَة نِسَآء أَو أَكْنَن فِي نَفْس عَلِمَ ٱللَّه أَنّ ذَكَرَ لَٰكِن لَا وَٰعَدْ سِرّ إِلَّا أَن قَالَ قَوْل مَّعْرُوف لَا عَزَمَ عُقْدَة نِكَاح حَتَّيٰ بَلَغَ كِتَٰب أَجَل عَلِمَ أَنّ ٱللَّه عَلِمَ مَا فِي نَفْس یَحْذَرُ عَلِمَ أَنّ ٱللَّه غَفُور حَلِیم
2##236	لَا جُنَاح عَلَيٰ إِن طَلَّقَ نِسَآء مَا لَم مَسَّ أَو فَرَضَ فَرِیضَة مَّتَّعْ عَلَيٰ مُوسِع قَدَر عَلَيٰ مُقْتِر قَدَر مَتَٰع مَّعْرُوف حَقّ عَلَيٰ مُحْسِن
2##237	إِن طَلَّقَ مِن قَبْل أَن مَسَّ قَد فَرَضَ فَرِیضَة نِصْف مَا فَرَضَ إِلَّا أَن عَفَا أَو عَفَا ٱلَّذِي یَد عُقْدَة نِكَاح أَن عَفَا أَقْرَب تَقْوَي لَا نَسِيَ فَضْل بَیْن إِنّ ٱللَّه مَا عَمِلَ بَصِیر
2##238	یُحَافِظُ عَلَيٰ صَلَوٰة صَلَوٰة وُسْطَيٰ قَامَ ٱللَّه قَانِت
2##239	إِن خَافَ رِجَال أَو رُكْبَان إِذَا أَمِنَ ذَكَرَ ٱللَّه مَا عَلَّمَ مَا لَم كَانَ عَلِمَ
2##240	ٱلَّذِي تَوَفَّيٰ مِن یَذَرَ زَوْج وَصِیَّة زَوْج مَتَٰع إِلَيٰ حَوْل غَیْر إِخْرَاج إِن خَرَجَ لَا جُنَاح عَلَيٰ فِي مَا فَعَلَ فِي نَفْس مِن مَّعْرُوف ٱللَّه عَزِیز حَكِیم
2##241	مُطَلَّقَٰت مَتَٰع مَّعْرُوف حَقّ عَلَيٰ مُتَّقِین
2##242	ذَٰلِك بَیَّنُ ٱللَّه ءَایَة لَعَلّ عَقَلُ
2##243	لَم رَءَا إِلَيٰ ٱلَّذِي خَرَجَ مِن دَار أَلْف حَذَر مَوْت قَالَ ٱللَّه مَّاتَ ثُمّ أَحْیَا إِنّ ٱللَّه ذُو فَضْل عَلَيٰ نَّاس لَٰكِنّ أَكْثَر نَّاس لَا شَكَرَ
2##244	قَٰتَلَ فِي سَبِیل ٱللَّه عَلِمَ أَنّ ٱللَّه سَمِیع عَلِیم
2##245	مَن ذَا ٱلَّذِي أَقْرَضُ ٱللَّه قَرْض حَسَن یُضَٰعِفُ ضِعْف كَثِیرَة ٱللَّه قَبَضْ بَسَطَ إِلَيٰ رَجَعَ
2##246	لَم رَءَا إِلَيٰ مَلَأ مِن بُنَيّ إِسْرَائِیل مِن بَعْد مُوسَيٰ إِذ قَالَ نَّبِيّ بَعَثَ مَلِك قَٰتَلَ فِي سَبِیل ٱللَّه قَالَ هَل عَسَي إِن كَتَبَ عَلَيٰ قِتَال أَن لَا قَٰتَلَ قَالَ مَا أَن لَا قَٰتَلَ فِي سَبِیل ٱللَّه قَد أَخْرَجَ مِن دَار ٱبْن لَمَّا كَتَبَ عَلَيٰ قِتَال تَوَلَّيٰ إِلَّا قَلِیل مِن ٱللَّه عَلِیم ظَالِم
2##247	قَالَ نَّبِيّ إِنّ ٱللَّه قَد بَعَثَ طَالُوت مَلِك قَالَ أَنَّيٰ كَانَ مُلْك عَلَيٰ أَحَقّ مُلْك مِن لَم آتَي سَعَة مِن مَال قَالَ إِنّ ٱللَّه ٱصْطَفَيٰ عَلَيٰ زَادَ بَصطَة فِي عِلْم جِسْم ٱللَّه آتَي مُلْك مَن شَآءَ ٱللَّه وَٰسِع عَلِیم
2##248	قَالَ نَّبِيّ إِنّ ءَایَة مُلْك أَن أَتَي تَّابُوت فِي سَكِینَة مِن رَبّ بَقِیَّت مِن مَا تَرَكَ ءَال مُوسَيٰ ءَال هَٰرُون حَمَلَ مَلَك إِنّ فِي ذَٰلِك ءَایَة إِن كَانَ مُؤْمِن
2##249	لَمَّا فَصَلَ طَالُوت جُند قَالَ إِنّ ٱللَّه مُبْتَلِی نَهَر مَن شَرِبَ مِن لَّیْسَ مِن مَن لَم طَعِمُ إِنّ مِن إِلَّا مَن ٱغْتَرَفَ غُرْفَة یَد شَرِبَ مِن إِلَّا قَلِیل مِن لَمَّا جَاوَزَ ٱلَّذِي ءَامَنَ مَع قَالَ لَا طَاقَة یَوْم جَالُوت جُند قَالَ ٱلَّذِي ظَنَّ أَنّ مُّلَٰقُوا ٱللَّه كَم مِن فِئَة قَلِیلَة غَلَبُ فِئَة كَثِیرَة إِذْن ٱللَّه ٱللَّه مَع صَابِر
2##250	لَمَّا بَرَزَ جَالُوت جُند قَالَ رَبّ أَفْرِغْ عَلَيٰ صَبْر ثَبَّتْ قَدَم نَصَرَ عَلَيٰ قَوْم كَٰفِرُون
2##251	هَزَمُ إِذْن ٱللَّه قَتَلَ دَاوُد جَالُوت آتَي ٱللَّه مُلْك حِكْمَة عَلَّمَ مِن مَا شَآءَ لَوْلَآ دَفْع ٱللَّه نَّاس بَعْض بَعْض فَسَدَتِ أَرْض لَٰكِنّ ٱللَّه ذُو فَضْل عَلَيٰ عَٰلَمِین
2##252	ذَٰلِك ءَایَة ٱللَّه تَلَيٰ عَلَيٰ حَقّ إِنّ مِن مُّرْسَل
2##253	ذَٰلِك رَسُول فَضَّلَ بَعْض عَلَيٰ بَعْض مِن مَن كَلَّمَ ٱللَّه رَفَعَ بَعْض دَرَجَة آتَي عِیسَي ٱبْن مَرْیَم بَیِّنَة أَیَّدَ رُوح قُدُس لَو شَآءَ ٱللَّه مَا ٱقْتَتَلَ ٱلَّذِي مِن بَعْد مِن بَعْد مَا جَآءَ بَیِّنَة لَٰكِن ٱخْتَلَفَ مِن مَن ءَامَنَ مِن مَن كَفَرَ لَو شَآءَ ٱللَّه مَا ٱقْتَتَلَ لَٰكِنّ ٱللَّه فَعَلَ مَا أَرَادَ
2##254	أَیُّهَا ٱلَّذِي ءَامَنَ أَنفَقَ مِن مَا رَزَقَ مِن قَبْل أَن أَتَي یَوْم لَا بَیْع فِي لَا خُلَّة لَا شَفَٰعَة كَٰفِرُون ظَالِم
2##255	ٱللَّه لَا إِلَٰه إِلَّا حَیّ قَیُّوم لَا أَخَذَ سِنَة لَا نَوْم مَا فِي سَمَآء مَا فِي أَرْض مَن ذَا ٱلَّذِي یَشْفَعُ عِند إِلَّا إِذْن عَلِمَ مَا بَیْن یَد مَا خَلْف لَا أَحَاطَ شَيْء مِن عِلْم إِلَّا مَا شَآءَ وَسِعَ كُرْسِیّ سَمَآء أَرْض لَا یَُودُ حِفْظ عَلِیّ عَظِیم
2##256	لَا إِكْرَاه فِي دِین قَد تَبَیَّنَ رُشْد مِن غَیّ مَن كَفَرَ طَّٰغُوت ءَامَنَ ٱللَّه قَد ٱسْتَمْسَكَ عُرْوَة وُثْقَيٰ لَا ٱنفِصَام ٱللَّه سَمِیع عَلِیم
2##257	ٱللَّه وَلِيّ ٱلَّذِي ءَامَنَ أَخْرَجَ مِن ظُلُمَٰت إِلَيٰ نُور ٱلَّذِي كَفَرَ وَلِيّ طَّٰغُوت أَخْرَجَ مِن نُور إِلَيٰ ظُلُمَٰت أُولَٰٓئِك أَصْحَٰب نَار فِي خَٰلِد
2##258	لَم رَءَا إِلَيٰ ٱلَّذِي حَآجَّ إِبْرَاهِیم فِي رَبّ أَن آتَي ٱللَّه مُلْك إِذ قَالَ إِبْرَاهِیم رَبّ ٱلَّذِي أَحْیَا أَمَاتَ قَالَ أَحْیَا أَمَاتَ قَالَ إِبْرَاهِیم إِنّ ٱللَّه أَتَي شَمْس مِن مَشْرِق أَتَي مِن مَغْرِب بُهِتَ ٱلَّذِي كَفَرَ ٱللَّه لَا هَدَي قَوْم ظَالِم
2##259	أَو ٱلَّذِي مَرَّ عَلَيٰ قَرْیَة خَاوِیَة عَلَيٰ عَرْش قَالَ أَنَّيٰ أَحْیَا هَٰذَا ٱللَّه بَعْد مَوْت أَمَاتَ ٱللَّه مِائَة عَام ثُمّ بَعَثَ قَالَ كَم لَبِثَ قَالَ لَبِثَ یَوْم أَو بَعْض یَوْم قَالَ بَل لَبِثَ مِائَة عَام نَّظَرَ إِلَيٰ طَعَام شَرَاب لَم یَتَسَنَّهْ نَّظَرَ إِلَيٰ حِمَار جَعَلَ ءَایَة نَّاس نَّظَرَ إِلَيٰ عَظِیم كَیْف نُنشِزُ ثُمّ كَسَوْ لَحْم لَمَّا تَبَیَّنَ قَالَ عَلِمَ أَنّ ٱللَّه عَلَيٰ كُلّ شَيْء قَدِیر
2##260	إِذ قَالَ إِبْرَاهِیم رَبّ أَرَیْ كَیْف أَحْیَا مَّیِّت قَالَ لَم ءَامَنَ قَالَ بَلَيٰ لَٰكِن ٱطْمَأَنَّ قَلْب قَالَ أَخَذَ أَرْبَعَة مِن طَیْر صُرْ إِلَيٰ ثُمّ جَعَلَ عَلَيٰ كُلّ جَبَل مِن جُزْء ثُمّ دَعَا أَتَي سَعْی عَلِمَ أَنّ ٱللَّه عَزِیز حَكِیم
2##261	مَثَل ٱلَّذِي أَنفَقَ مَال فِي سَبِیل ٱللَّه مَثَل حَبَّة أَنۘبَتَ سَبْع سُنبُلَة فِي كُلّ سُنبُلَة مِائَة حَبَّة ٱللَّه یُضَٰعِفُ مَن شَآءَ ٱللَّه وَٰسِع عَلِیم
2##262	ٱلَّذِي أَنفَقَ مَال فِي سَبِیل ٱللَّه ثُمّ لَا أَتْبَعَ مَا أَنفَقَ مَنّ لَا أَذًي أَجْر عِند رَبّ لَا خَوْف عَلَيٰ لَا یَحْزُن
2##263	قَوْل مَّعْرُوف مَّغْفِرَة خَیْر مِن صَدَقَة تَبِعَ أَذًي ٱللَّه غَنِيّ حَلِیم
2##264	أَیُّهَا ٱلَّذِي ءَامَنَ لَا یُبْطِلَ صَدَقَٰت مَنّ أَذًي ٱلَّذِي أَنفَقَ مَال رِئَآء نَّاس لَا ءَامَنَ ٱللَّه یَوْم آخِر مَثَل مَثَل صَفْوَان عَلَيٰ تُرَاب أَصَابَ وَابِل تَرَكَ صَلْد لَا قَدَرَ عَلَيٰ شَيْء مِن مَا كَسَبَ ٱللَّه لَا هَدَي قَوْم كَٰفِرُون
2##265	مَثَل ٱلَّذِي أَنفَقَ مَال ٱبْتِغَآء مَرْضَات ٱللَّه تَثْبِیت مِن نَفْس مَثَل جَنَّة رَبْوَة أَصَابَ وَابِل آتَي أُكُل ضِعْف إِن لَم أَصَابَ وَابِل طَلّ ٱللَّه مَا عَمِلَ بَصِیر
2##266	وَدَّ أَحَد أَن كَانَ جَنَّة مِن نَّخِیل عِنَب جَرَیْ مِن تَحْت نَهَر فِي مِن كُلّ ثَمَرَٰت أَصَابَ كِبَر ذُرِّیَّة ضَعِیف أَصَابَ إِعْصَار فِي نَار ٱحْتَرَقَتْ ذَٰلِك بَیَّنُ ٱللَّه ءَایَة لَعَلّ یَتَفَكَّرُ
2##267	أَیُّهَا ٱلَّذِي ءَامَنَ أَنفَقَ مِن طَیِّبَٰت مَا كَسَبَ مِن مَا أَخْرَجَ مِن أَرْض لَا تَیَمَّمُ خَبِیث مِن أَنفَقَ لَّیْسَ آخِذ إِلَّا أَن تُغْمِضُ فِي عَلِمَ أَنّ ٱللَّه غَنِيّ حَمِید
2##268	شَیْطَٰن وَعَدَ فَقْر أَمَرَ فَحْشَآء ٱللَّه وَعَدَ مَّغْفِرَة مِن فَضْل ٱللَّه وَٰسِع عَلِیم
2##269	آتَي حِكْمَة مَن شَآءَ مَن آتَي حِكْمَة قَد آتَي خَیْر كَثِیر مَا تَذَكَّرَ إِلَّا أُولِي أَلْبَٰب
2##270	مَا أَنفَقَ مِن نَفَقَة أَو نَذَرْ مِن نَّذْر إِنّ ٱللَّه عَلِمَ مَا ظَالِم مِن نَصِیر
2##271	إِن یُبْدِيَ صَدَقَٰت نِعْمَ إِن أُخْفِيَ آتَي فَقِیر خَیْر كَفَّرَ عَن مِن سَیَِّات ٱللَّه مَا عَمِلَ خَبِیر
2##272	لَّیْسَ عَلَيٰ هُدًي لَٰكِنّ ٱللَّه هَدَي مَن شَآءَ مَا أَنفَقَ مِن خَیْر نَفْس مَا أَنفَقَ إِلَّا ٱبْتِغَآء وَجْه ٱللَّه مَا أَنفَقَ مِن خَیْر وَفَّيٰٓ إِلَيٰ لَا ظَلَمَ
2##273	فَقِیر ٱلَّذِي أُحْصِرُ فِي سَبِیل ٱللَّه لَا ٱسْتَطَاعَ ضَرْب فِي أَرْض حَسِبَ جَاهِل غَنِيّ مِن تَّعَفُّف عَرَفَ سِیمَٰ لَا سَأَلَ نَّاس إِلْحَاف مَا أَنفَقَ مِن خَیْر إِنّ ٱللَّه عَلِیم
2##274	ٱلَّذِي أَنفَقَ مَال لَیْل نَهَار سِرّ عَلَانِیَة أَجْر عِند رَبّ لَا خَوْف عَلَيٰ لَا یَحْزُن
2##275	ٱلَّذِي أَكَلَ رِّبَوٰا لَا قَامَ إِلَّا مَا قَامَ ٱلَّذِي یَتَخَبَّطُ شَیْطَٰن مِن مَسّ ذَٰلِك أَنّ قَالَ إِنّ مَا بَیْع مِثْل رِّبَوٰا أَحَلَّ ٱللَّه بَیْع حَرَّمَ رِّبَوٰا مَن جَآءَ مَّوْعِظَة مِن رَبّ ٱنتَهَيٰ مَا سَلَفَ أَمْر إِلَيٰ ٱللَّه مَن عَادَ أُولَٰٓئِك أَصْحَٰب نَار فِي خَٰلِد
2##276	یَمْحَقُ ٱللَّه رِّبَوٰا أَرْبَيٰ صَدَقَٰت ٱللَّه لَا أَحْبَبْ كُلّ كَفَّار أَثِیم
2##277	إِنّ ٱلَّذِي ءَامَنَ عَمِلَ صَّٰلِحَٰت أَقَامَ صَلَوٰة آتَي زَكَوٰة أَجْر عِند رَبّ لَا خَوْف عَلَيٰ لَا یَحْزُن
2##278	أَیُّهَا ٱلَّذِي ءَامَنَ ٱتَّقَيٰ ٱللَّه یَذَرَ مَا بَقِيَ مِن رِّبَوٰا إِن كَانَ مُؤْمِن
2##279	إِن لَم فَعَلَ أَذِنَ حَرْب مِن ٱللَّه رَسُول إِن تَابَ رَأْس مَال لَا ظَلَمَ لَا ظَلَمَ
2##280	إِن كَانَ ذُو عُسْرَة نَظِرَة إِلَيٰ مَیْسَرَة أَن تَصَدَّقَ خَیْر إِن كَانَ عَلِمَ
2##281	ٱتَّقَيٰ یَوْم رَجَعَ فِي إِلَيٰ ٱللَّه ثُمّ وَفَّيٰٓ كُلّ نَفْس مَا كَسَبَ لَا ظَلَمَ
2##282	أَیُّهَا ٱلَّذِي ءَامَنَ إِذَا تَدَایَن دَیْن إِلَيٰ أَجَل مُّسَمًّي كَتَبَ كَتَبَ بَیْن كَاتِب عَدْل لَا أَبَي كَاتِب أَن كَتَبَ مَا عَلَّمَ ٱللَّه كَتَبَ یُمِلَّ ٱلَّذِي عَلَيٰ حَقّ ٱتَّقَيٰ ٱللَّه رَبّ لَا یَبْخَسْ مِن شَيْء إِن كَانَ ٱلَّذِي عَلَيٰ حَقّ سَفِیه أَو ضَعِیف أَو لَا ٱسْتَطَاعَ أَن یُمِلَّ یُمِلَّ وَلِيّ عَدْل ٱسْتَشْهِدُ شَهِید مِن رِجَال إِن لَم كَانَ رَجُل رَجُل ٱمْرَأَت مِن مَن رَّضِيَ مِن شَهِید أَن ضَلَّ إِحْدَي ذُكِّرَ إِحْدَي آخَر لَا أَبَي شَهِید إِذَا مَا دَعَا لَا یَسَْمُ أَن كَتَبَ صَغِیر أَو كَبِیر إِلَيٰ أَجَل ذَٰلِك أَقْسَط عِند ٱللَّه أَقْوَم شَهَٰدَة أَدْنَيٰ أَن لَا ٱرْتَابَ إِلَّا أَن كَانَ تِجَٰرَة حَاضِرَة تُدِیرُ بَیْن لَّیْسَ عَلَيٰ جُنَاح أَن لَا كَتَبَ أَشْهَدَ إِذَا تَبَایَعْ لَا یُضَآرَّ كَاتِب لَا شَهِید إِن فَعَلَ إِنّ فُسُوق ٱتَّقَيٰ ٱللَّه عَلَّمَ ٱللَّه ٱللَّه كُلّ شَيْء عَلِیم
2##283	إِن كَانَ عَلَيٰ سَفَر لَم وَجَدَ كَاتِب رِهَٰن مَّقْبُوضَة إِن أَمِنَ بَعْض بَعْض یُؤَدِّ ٱلَّذِي ٱؤْتُمِنَ أَمَٰنَت ٱتَّقَيٰ ٱللَّه رَبّ لَا كَتَمَ شَهَٰدَة مَن كَتَمَ إِنّ آثِم قَلْب ٱللَّه مَا عَمِلَ عَلِیم
2##284	ٱللَّه مَا فِي سَمَآء مَا فِي أَرْض إِن یُبْدِيَ مَا فِي نَفْس أَو أُخْفِيَ حَاسَبْ ٱللَّه غَفَرَ مَن شَآءَ عَذَّبَ مَن شَآءَ ٱللَّه عَلَيٰ كُلّ شَيْء قَدِیر
2##285	ءَامَنَ رَسُول مَا أَنزَلَ إِلَيٰ مِن رَبّ مُؤْمِن كُلّ ءَامَنَ ٱللَّه مَلَك كِتَٰب رَسُول لَا فَرَّقُ بَیْن أَحَد مِن رَسُول قَالَ سَمِعَ أَطَاعَ غُفْرَان رَبّ إِلَيٰ مَصِیر
2##286	لَا یُكَلِّفُ ٱللَّه نَفْس إِلَّا وُسْع مَا كَسَبَ عَلَيٰ مَا ٱكْتَسَبَ رَبّ لَا یُؤَاخِذُ إِن نَسِيَ أَو أَخْطَأْ رَبّ لَا حَمَلَ عَلَيٰ إِصْر مَا حَمَلَ عَلَيٰ ٱلَّذِي مِن قَبْل رَبّ لَا حُمِّلَ مَا لَا طَاقَة عَفَا عَن غَفَرَ رَّحِمَ مَوْلَيٰ نَصَرَ عَلَيٰ قَوْم كَٰفِرُون
3##1	الٓمٓ
3##2	ٱللَّه لَا إِلَٰه إِلَّا حَیّ قَیُّوم
3##3	نَزَّلَ عَلَيٰ كِتَٰب حَقّ مُصَدِّق مَا بَیْن یَد أَنزَلَ تَّوْرَيٰة إِنجِیل
3##4	مِن قَبْل هُدًي نَّاس أَنزَلَ فُرْقَان إِنّ ٱلَّذِي كَفَرَ ءَایَة ٱللَّه عَذَاب شَدِید ٱللَّه عَزِیز ذُو ٱنتِقَام
3##5	إِنّ ٱللَّه لَا یَخْفَيٰ عَلَيٰ شَيْء فِي أَرْض لَا فِي سَمَآء
3##6	ٱلَّذِي صَوَّرَ فِي أَرْحَام كَیْف شَآءَ لَا إِلَٰه إِلَّا عَزِیز حَكِیم
3##7	ٱلَّذِي أَنزَلَ عَلَيٰ كِتَٰب مِن ءَایَة مُّحْكَمَٰت أُمّ كِتَٰب آخَر مُتَشَٰبِه أَمَّا ٱلَّذِي فِي قَلْب زَیْغ ٱتَّبَعَ مَا تَشَٰبَهَ مِن ٱبْتِغَآء فِتْنَة ٱبْتِغَآء تَأْوِیل مَا عَلِمَ تَأْوِیل إِلَّا ٱللَّه رَّٰسِخُون فِي عِلْم قَالَ ءَامَنَ كُلّ مِن عِند رَبّ مَا تَذَكَّرَ إِلَّا أُولِي أَلْبَٰب
3##8	رَبّ لَا أَزَاغَ قَلْب بَعْد إِذ هَدَي وَهَبَ مِن لَّدُن رَحْمَة إِنّ وَهَّاب
3##9	رَبّ إِنّ جَامِع نَّاس یَوْم لَا رَیْب فِي إِنّ ٱللَّه لَا أَخْلَفُ مِّیعَاد
3##10	إِنّ ٱلَّذِي كَفَرَ لَن أَغْنَتْ عَن مَال لَا وَلَد مِن ٱللَّه شَيْء أُولَٰٓئِك وَقُود نَار
3##11	دَأْب ءَال فِرْعَوْن ٱلَّذِي مِن قَبْل كَذَّبَ ءَایَة أَخَذَ ٱللَّه ذَنب ٱللَّه شَدِید عِقَاب
3##12	قَالَ ٱلَّذِي كَفَرَ غَلَبُ حَشَرَ إِلَيٰ جَهَنَّم بِئْسَ مِهَٰد
3##13	قَد كَانَ ءَایَة فِي فِئَة ٱلْتَقَي فِئَة قَٰتَلَ فِي سَبِیل ٱللَّه آخَر كَافِرَة رَءَا مِثْل رَأْي عَیْن ٱللَّه أَیَّدَ نَصْر مَن شَآءَ إِنّ فِي ذَٰلِك عِبْرَة أُولِي بَصَر
3##14	زَیَّنَ نَّاس حُبّ شَّهَوَٰت مِن نِسَآء بُنَيّ قِنطَار مُقَنطَرَة مِن ذَهَب فِضَّة خَیْل مُّسَوَّمَة نَّعَم حَرْث ذَٰلِك مَتَٰع حَیَوٰة دُّنْیَا ٱللَّه عِند حُسْن مََاب
3##15	قَالَ نَبَّأَ خَیْر مِن ذَٰلِك ٱلَّذِي ٱتَّقَيٰ عِند رَبّ جَنَّة جَرَیْ مِن تَحْت نَهَر خَٰلِد فِي زَوْج مُّطَهَّرَة رِضْوَٰن مِن ٱللَّه ٱللَّه بَصِیر عَبْد
3##16	ٱلَّذِي قَالَ رَبّ إِنّ ءَامَنَ غَفَرَ ذَنب وَقَيٰ عَذَاب نَار
3##17	صَابِر صَادِق قَانِت مُنفِقِین مُسْتَغْفِرِین سَحَر
3##18	شَهِدَ ٱللَّه أَنّ لَا إِلَٰه إِلَّا مَلَك أُولِي عِلْم قَآئِم قِسْط لَا إِلَٰه إِلَّا عَزِیز حَكِیم
3##19	إِنّ دِین عِند ٱللَّه إِسْلَٰم مَا ٱخْتَلَفَ ٱلَّذِي آتَي كِتَٰب إِلَّا مِن بَعْد مَا جَآءَ عِلْم بَغْی بَیْن مَن كَفَرَ ءَایَة ٱللَّه إِنّ ٱللَّه سَرِیع حِسَاب
3##20	إِن حَآجَّ قَالَ أَسْلَمَ وَجْه ٱللَّه مَن ٱتَّبَعَ قَالَ ٱلَّذِي آتَي كِتَٰب أُمِّيّ أَسْلَمَ إِن أَسْلَمَ قَد ٱهْتَدَيٰ إِن تَوَلَّيٰ إِنّ مَا عَلَيٰ بَلَٰغ ٱللَّه بَصِیر عَبْد
3##21	إِنّ ٱلَّذِي كَفَرَ ءَایَة ٱللَّه قَتَلَ نَّبِيّ غَیْر حَقّ قَتَلَ ٱلَّذِي أَمَرَ قِسْط مِن نَّاس بُشِّرَ عَذَاب أَلِیم
3##22	أُولَٰٓئِك ٱلَّذِي حَبِطَ عَمَل فِي دُّنْیَا آخِر مَا مِن نَاصِر
3##23	لَم رَءَا إِلَيٰ ٱلَّذِي آتَي نَصِیب مِن كِتَٰب دَعَا إِلَيٰ كِتَٰب ٱللَّه حَكَمَ بَیْن ثُمّ تَوَلَّيٰ فَرِیق مِن مُّعْرِضُون
3##24	ذَٰلِك أَنّ قَالَ لَن مَسَّ نَار إِلَّا یَوْم مَّعْدُودَة غَرَّ فِي دِین مَا كَانَ ٱفْتَرَيٰ
3##25	كَیْف إِذَا جَمَعَ یَوْم لَا رَیْب فِي وَفَّيٰٓ كُلّ نَفْس مَا كَسَبَ لَا ظَلَمَ
3##26	قَالَ ٱللَّهُمَّ مَٰلِك مُلْك آتَي مُلْك مَن شَآءَ نَزَعَ مُلْك مِن مَن شَآءَ تُعِزُّ مَن شَآءَ تُذِلُّ مَن شَآءَ یَد خَیْر إِنّ عَلَيٰ كُلّ شَيْء قَدِیر
3##27	یُولِجُ لَیْل فِي نَهَار یُولِجُ نَهَار فِي لَیْل أَخْرَجَ حَیّ مِن مَّیِّت أَخْرَجَ مَّیِّت مِن حَیّ رَزَقَ مَن شَآءَ غَیْر حِسَاب
3##28	لَا ٱتَّخَذَ مُؤْمِن كَٰفِرُون وَلِيّ مِن دُون مُؤْمِن مَن فَعَلَ ذَٰلِك لَّیْسَ مِن ٱللَّه فِي شَيْء إِلَّا أَن ٱتَّقَيٰ مِن تُقَيٰة یُحَذِّرُ ٱللَّه نَفْس إِلَيٰ ٱللَّه مَصِیر
3##29	قَالَ إِن أُخْفِيَ مَا فِي صَدْر أَو یُبْدِيَ عَلِمَ ٱللَّه عَلِمَ مَا فِي سَمَآء مَا فِي أَرْض ٱللَّه عَلَيٰ كُلّ شَيْء قَدِیر
3##30	یَوْم وَجَدَ كُلّ نَفْس مَا عَمِلَ مِن خَیْر مُّحْضَر مَا عَمِلَ مِن سُوٓء وَدَّ لَو أَنّ بَیْن بَیْن أَمَد بَعِید یُحَذِّرُ ٱللَّه نَفْس ٱللَّه رَءُوف عَبْد
3##31	قَالَ إِن كَانَ أَحْبَبْ ٱللَّه ٱتَّبَعَ أَحْبَبْ ٱللَّه غَفَرَ ذَنب ٱللَّه غَفُور رَّحِیم
3##32	قَالَ أَطَاعَ ٱللَّه رَسُول إِن تَوَلَّيٰ إِنّ ٱللَّه لَا أَحْبَبْ كَٰفِرُون
3##33	إِنّ ٱللَّه ٱصْطَفَيٰ آدَم نُوح ءَال إِبْرَاهِیم ءَال عِمْرَٰن عَلَيٰ عَٰلَمِین
3##34	ذُرِّیَّة بَعْض مِن بَعْض ٱللَّه سَمِیع عَلِیم
3##35	إِذ قَالَ ٱمْرَأَت عِمْرَٰن رَبّ إِنّ نَذَرْ مَا فِي بَطْن مُحَرَّر تَقَبَّلَ مِن إِنّ سَمِیع عَلِیم
3##36	لَمَّا وَضَعَ قَالَ رَبّ إِنّ وَضَعَ أُنثَيٰ ٱللَّه أَعْلَم مَا وَضَعَ لَّیْسَ ذَكَر أُنثَيٰ إِنّ سَمَّيٰ مَرْیَم إِنّ أُعِیذُ ذُرِّیَّة مِن شَیْطَٰن رَجِیم
3##37	تَقَبَّلَ رَبّ قَبُول حَسَن أَنۘبَتَ نَبَات حَسَن كَفَّلَ زَكَرِیَّا كُلَّمَا دَخَلَ عَلَيٰ زَكَرِیَّا مِحْرَاب وَجَدَ عِند رِزْق قَالَ مَرْیَم أَنَّيٰ هَٰذَا قَالَ مِن عِند ٱللَّه إِنّ ٱللَّه رَزَقَ مَن شَآءَ غَیْر حِسَاب
3##38	هُنَالِك دَعَا زَكَرِیَّا رَبّ قَالَ رَبّ وَهَبَ مِن لَّدُن ذُرِّیَّة طَیِّبَة إِنّ سَمِیع دُعَآء
3##39	نَادَيٰ مَلَك قَآئِم صَلَّيٰ فِي مِحْرَاب أَنّ ٱللَّه بُشِّرَ یَحْیَيٰ مُصَدِّق كَلِمَة مِن ٱللَّه سَیِّد حَصُور نَّبِيّ مِن صَٰلِح
