,Finglish,Persian
1803,bastegi daare chetor be aan negaah koni.,بستگی داره چطور به آن نگاه کنی
1740,baa ejaazatoon maa dige rafe zahmat konim.,با اجازه تون ما دیگه رفع زحمت کنیم
953,taa betavaani raahat sor bokhori,تا بتوني راحت سر بخوري
108,mardi dar namayeshgahi goldan miforookht.,مردی در نمایشگاهی گلدان می فروخت
1241,vali yek raahnamaaye kheradmand va daanaa mitavaanad be shomaa soaale dorost raa pishnahaad konad.,ولی یک راهنمای خردمند و دانا میتواند به شما سوال درست را پیشنهاد کند
669,che tor be nazar miresad vaghti,چطور به نظر ميرسه وقتي
29,bayad inghadr boland bashad?,بايد اينقدر بلند باشه؟
1707,va be soaalaati paasokh dahand ke chegoone aksolamal neshaan daadeand.,و به سوالاتی پاسخ دهند که چگونه عکسالعمل نشان دادهاند
509,az seda ye khod estefade konid va bavar konid ke mohem ast.,از صدای خود استفاده کنید و باور داشته باشید که مهم است
1528,mikhaay chikaar koni?,می خوای چیکار کنی ؟
1861,khoobe chon man goosh nemidam.,خوبه چون من گوش نمیدم
1316,lanat be zamine footbaale paaize roosiye va harchi ke hast.,لعنت به زمین فوتبال پائیز روسیه و هر چی که هست
270,in harf ha ashena be nazar miresid.,این حرفها آشنا به نظر میرسید
1457,"zabaane man raa bedaanid taa betavaanid malooliyatam, nezhaadam va mazhabam raa tosif konid.",زبان من را بدانید تا بتوانید معلولیتم، نژادم و مذهبم را توصیف کنید
648,dar kodaam mogheiat makaani va koja etefagh oftad pas az rokhdad az aan ba chekasi harf zadid?,در کدام موقعیت مکانی و کجا اتفاق افتاد؟ پس از رخداد از آن با چه کسی حرف زدید؟
161,oon tamam sharayet ro dare.,اون تمام شرايط رو داره
603,man vaghean mikhaham begiramash.,من واقعا ميخوام بگيرمش
20,shavahed dast nakhourdeh va hamzaman arzesh tala darad.,شواهد دستنخورده و همزمان ارزش طلا دارد
845,oo alaan vaaghean naaraahat ast,اون الان واقعا ناراحته
187,hey telephonat ra be man bedeh.,«هی، تلفنت را به من بده
769,vaghti polis haa paarti deleshaan mikhaahad va shoma az paarti bizaarid,وقتي پليسا پارتي دلشون مي خواد و شما از پارتي بيزاريد
1093,aan raa door zadand va be raahe khod edaame daadand.,ان را دور زدند و به راه خود ادامه دادند
873,midaani mardom migooyand,ميدوني مردم ميگن
829,man vaaghean mazerat mikhaaham,من واقعا معذرت مي خوام
971,khob oo motmaenan dir karde,خب اون مطمئنا دير کرده
1786,man ghahve nemikhoram mamnoon.,من قهوه نمی خورم ممنون
620,manzooram in ast ta aan jaei.,منظورم اينه تا اونجايي
195,"moshabeh shoma man niz chenin barnameh bar rouye goushi khod daram, va dar sourat estefadeh ye dorost mitavan az zendegi asan tar, rahat tar va hata momken ast salem tar shavad.",مشابه شما، من نیز چندین برنامه بر روی گوشی خود دارم، و در صورت استفاده درست، میتواند زندگی آسانتر، راحتتر و حتی ممکن است سالمتر شود
748,cheraa chon kheyli feshaar aavard va dar in ravand 300 melioon dolaar kaaseb shod?,چرا؟ چون بری فشار آورد، و در این روند ۳۰۰ میلیون دلار کاسب شد
1811,ke be nazar mirese dard daare.,که بنظر میرسه درد داره
571,jaaye daghighan?,جای دقیق ان؟
266,neveshte yebar digar bekhan.,نوشتي يک بار ديگه بخون
1717,in dige che kaari bood?,این دیگه چه کاری بود ؟
881,yaadat ast behet migoftam agar to beravi mimiram?,یادته بهت می گفتم اگه تو بری می میرم
910,aahaay sagetoon pish mast,آهای سگتون پیش ماست
900,aan bache pishash che kaar mikonad?,اون بچه پیشش چیکار می کنه؟
1742,ey val maamaanam aasheghe in baaziye.,ای ول مامانم عاشق این بازیه
158,ba cheshmaye koochik o baragh.,با چشمای کوچیک و براق
1060,"avalan mersi az deghate hamegi, saaniyan manzoor az 4 baraabar nesbate tolid va kaarkonaan ast.",اولاً مرسی از دقت همگی، ثانیاً منظور از ٤ برابر نسبت تولید و كاركنان هست
1181,delam mikhaad faghat bekhaabam va hick kaari nakonam.,دلم میخاد فقط بخابم و هیچ کاری نکنم
125,bebin tou eshtebah nemikoni.,خب ميدوني چيه در حقيقت
1674,to payaamo paak kardi dige.,تو پیامو پاک کردی دیگه
229,fekr mikounam intour bashe.,فکر مي کنم اينطور باشه
1236,"baraaye bish az yek dahe, oo az yek reise bi adab ranj bord.",برای بیش از یک دهه، او از یک رئیس بیادب رنج برد
855,vali shekaayati nemikonam,.ولي شکايتي نمي کنه.
1426,eshghe khaalesaaneye pedar be farzand be revaayate tasvir.,عشق خالصانه پدر به فرزند به روایت تصویر
806,khodaaye man in raa negaah kon,خداي من! اينو نگاه کن
731,shomaa be del nagir moones khaanom,شما بدل نگیر مونس خانم.
1778,"midoonin, aakhe bekhaater shomaa, oon aarezoosh bood.",می دونین،اخه به خاطر شما،اون ارزوش بود
814,albate shomaa hagh daarid baavar konid amaa nokte haminjaa ast ki bood ke behesh gofti badan zang bezanad yani taraf in ghadr mohem boode ke too aan sharaayet bekhaahi javaabash raa bedehi?,البته. شما همه حق دارین باور کنید. اما نکته همین جاست. کی بود که بهش گفتی بعداً زنگ بزنه؟ یعنی طرف اینقدر مهم بوده که توی اون شرایط بخوای جوابشو بدی؟
1377,kaari kard ke havaadaaraaye baghiyeye tim haa betoonan finaale aasiya ro az nazdik bebinan.,كارى كرد كه هواداراى بقیه ى تیم ها بتونن فینال آسیا رو از نزدیك ببینن
57,vali bebinim gondeh ast.,ولي ببينم ، گنده هستش؟
565,joei oon ra bezaresh zamin.,جويي ، اونو بزارش زمين
1770,aare ama be mahze in ke rezaa khabardaar beshe.,اره اما به محض اینکه رضا خبردار بشه
541,"chetor, chetor taghsir e to ast?",چطور؟ چطور تقصير توئه؟
659,dovom che kasi aanjaa bood? shaahedi hozoor daasht? in dar edaame besyar zaroori khaahad bood,دوم، چه کسی آنجا بود؟ آیا شاهدی حضور داشت؟ این در ادامه بسیار ضروری خواهد شد
513,chon to too ye team e man hasti.,چون تو توي تيم من هستي
893,haalaa sad taa az to hastand,حالا 100 تا از تو هستن
1338,shaayad aan haa be khaater nadaarand ke: jahaan daarad pirtar mishavad.,شاید آنها به خاطر ندارند که: جهان دارد پیرتر می شود!
425,khodaya saye ye pedar va madar rou ye sar e hame javan ha bashad.,خدایا سایه پدرو مادر روسر همه جوونا باشه
1445,vaghti baa man harf nemizane.,وقتی با من حرف نمی زنه
1348,khodaa zalil kone in pool ro ke najes tar az in man nadidam too donyaa.,خدا ذلیل کنه این پول رو که نجس تر از این من ندیدم تو دنیا.
1903,haalaa harchi. harfe dahane mardom baade havaast.,حالا هر چی. حرف دهن مردم باد هواست
1549,aare. az haraaji kharidamesh.,.آره. از حراجی خریدمش
1896,be baaziye nikz davatesh kon.,.به بازی نیکز دعوتش کن
1339,joyi behet gofte begi aay?,جویی بهت گفته بگی آی ؟
1665,"baa aan ke kaar haaye mohemtari bood, bishtare chiz haayi ke rokh midaad raftaar haa va olgoo haaye kam ahamiyati boodand.",با آنکه کارهای مهمتری بود، بیشتر چیزهایی که رخ میداد رفتارها و الگوهای کماهمیتی بودند
1107,in baraat pool saaz nemishe.,این برات پول ساز نمیشه
1065,alaan miram kotam ro miyaaram.,الان میرم کتم رو میارم
295,man donbal yek ketab hastam.,من دنبال يه کتاب هستم
1628,"dar kamaale ja'ajobe hame, ghol daad ke ozr khaahi konad va depaartemaane A raa monhal saazad.",در کمال تعجب همه، قول داد که عذرخواهی کند و دپارتمان A را منحل سازد
601,"fateme salehi, dokhtaram sre dar paark saei mikard sakhre navardi konad.",فاطمه صالحی: دخترم ساره سعی میکرد توی پارک صخرهنوردی کند
440,shayad keylihatoon ham shekast ra tajrobe kardeid va amdeidinja ke aram shavid.,شاید خیلیاتونم شکستشو تجربه کردین واومدین اینجا که یه جورایی اروم بشین
1428,to donbaale khoonevaadat oomadi.,تو دنبال خانوادت اومدی
1129,age khoshet nemiyaad dars bekhooni va biyaay sar kelaas khob beshin too khoonat.,اگه خوشت نمیاد درس بخونی و بیای سرکلاس خب بشین تو خونهت
1293,"baa in tasmim kaaghaz va ghalam be dast gereftam, rooye takhtekhaabe zendaan neshastam.",با این تصمیم کاغذ و قلم به دست گرفتم،روی تختخواب زندان نشستم
10,be feshar dadan edameh bedeh.,به فشار دادن ادامه بده
925,albate anaam raa migiram,البته انعام رو می گیرم
239,ba ghodrat va maharatam be dastash avardam.,با قدرت و مهارتم به دستش اوردم
661,baraaye mesaal avalin eraa e i ke dar sherkat daashtam,برای مثال، اولین ارائهای که در شرکت داشتم
1485,be khaatere faraar az tanhaayi ye mojoodi ro vaarede in donyaa bokonam.,به خاطر فرار ازتنهایی یه موجودی رو وارد این دنیا بکنم
323,hala ta bebina che mishavad.,حالا تا ببينيم چي ميشه
1645,"khabar reside, pedar shohar eftekhaar daadan va raftan tehraan.",خبر رسیده،پدرشوهر افتخار دادن ورفتن تهران
1106,"be aanhaa ehsaase arzesh, ghadrdaani va morede tavajoh boodan bedehid.",به آنها احساس ارزش، قدردانی و مورد توجه بودن بدهید
549,"vaghti aksi ra jaei montasher mikonid, ghablash khoob baresi ash konid.",وقتی عکسی رو جایی منتشر میکنید قبلش خوب بررسیش کنید
944,aan haa aashegh chips hastand koneshgar haa aasheg pool hastand,آنها عاشق چپپس هستند! (خنده) کنشگرها عاشق پول هستند
348,eghragh nemikonam.,اغراق نمیکنم
204,ama in ham mesl baghei medad haei ast ke dide am.,اما این هم مثل بقیه مدادهایی است که دیده ام
1216,manzooram in bood ke ...,. . منظورم این بود که
1261,oomad jelo goft khaste nabaashin.,اومد جلو گفت خسته نباشین
412,vaghti bargashtim hodoud e saat e noh e shab boud.,وقتی برگشتیم حدودا ساعتای نه شب بود
887,khaane maan raa mibarim aanjaa,خونه مون می بریم اونجا
1582,baraavarde kardane niyaaz haayeshaan masaleye bozorgi ast.,برآورده کردن نیازهایشان مسئله بزرگی است
1272,va in ham charlz maantes dar haale raandane baalone khodash.,و این هم چارلز مانتس در حال راندن بالن خودش
103,man orzehy in kar ro nadaram.,من عرضه اين کارو ندارم
310,peasar ha tou stadium footbal moghee hamle va mogheeat khatarnak e teameshoon.,پسرا تو استاديوم فوتبال موقع حمله و موقعيت خطرناك تيمشون
1438,"vaaghean pashmaam az in kilip, vaaghean pashmaam az in nasle jadid.",واقعا پشمام از این کلیپ، واقعا پشمام از این نسل جدید
355,ama ghabl az in ke az aan ha na omid shavim bayad begoueim aan ha gharar nist in moshkel ra hal konand ama ghegounei aan ra neshan midahand.,اما قبل از این که از آنها نومید شویم، باید بگویم، آنها قرار نیست این مشکلات را حل کنند، اما چگونگیاش را نشان میدهند
1744,koloope mardaane talaagh gerefte.,کلوپ مردان طلاق گرفته
1523,dar haali ke yek mosaahebeye khoob mitavaanad zendegiye kasi raa baraaye abad behbood bakhshad.,در حالیکه یک مصاحبه خوب میتواند زندگی کسی را برای ابد بهبود بخشد
1365,in behtarin daastaaniye ke taa be haal shenidam.,این بهترین داستانیه که تابه حال شنیدم
1643,khodam raa yek maargaaret mide emroozi dar miyaane nasle javaan tasavor kardam.,خودم را یک مارگارت مید امروزی در میان نسل جوان تصور کردم،
1282,"oonjaa ro, baa oon otooboose mitoonam beram khoone.",اونجا رو، با اون اتوبوسه می تونم برم خونه
1839,banabarin har ksa mitavaanad az farzande khodash shoroo konad va yek jariyaane dorost raa shekl dahad.,بنابراین هر کس میتواند از فرزند خودش شروع کند و یک جریان درست را شکل دهد
998,va age heliyome baadkonakaa ghable residan be aabshaar khaali beshe.,و اگه هلیوم بادکنکا قبل رسیدن به ابشار خالی بشه
127,dar gorooh ketabkhooni ma dokhtaran noujavan darbareye ketabha tahlilhay ajibi darand. tahlilhaie ke baraye bozorgsalan nadarand.,گستره دغدغههایمان زیاد شده است
250,bebin khodet ke midouni.,ببين ، خودت که ميدوني
1149,man ke kot napooshidam.,من که یه کت نپوشیدم
1767,gonjeshki baa ajale va tamaame tavaan be aatash nazdik mishod va bar migasht.,گنجشکی با عجله و تمام توان به اتش نزدیک می شد و برمی گشت!
960,man daashtam jigh mizadam,.من داشتم جيغ مي زدم
1075,door az joon aaghaa farhaad shohar mesle zaalooe joone zano mimake.,دور از جون اقا فرهاد شوهر مثل زالوئه جون زنو می مکه.
1765,dar fazaaye khaali az reghaabat daare pardaakht mishe.,در فضاى خالی از رقابت داره پرداخت میشه
1733,khob oon moghe nadaashtam.,خوب اون موقع نداشتم
165,migooyam ghasd nadaram behesh zehniat bedam.,میگویم قصد ندارم بهش ذهنیت بدهم
139,ye baste vaghti baste bashe.,يه بسته وقتي بسته باشه
1321,"vaghti man didamesh mesle kheyli az hamnsalaanash dar nasle hezaare, oo dar vaaghe taa naghshe modiriyati rosh karde bood.",وقتی من دیدمش مثل خیلی از همنسلانش در نسل هزاره، او درواقع تا نقش مدیریتی رشد کرده بود
1510,zende too aatish besoozid?,زنده تو آتیش بسوزید ؟
288,touye ashpaz khuneh miz naboud?,تو آشپزخونه ميز نبود؟
1420,chand taa mesaal mizanam azash.,چندتامثال میزنم ازش
135,va ziad darbarey mosharekat modiriat dar masael atefi sohbat mikonam.,و زیاد درباره مشارکت مدیریت در مسائل عاطفی صحبت میکنند
237,mousri ast va ba boudan atrafe un ma niz mobtala mishavim.,مسری است، و با بودن اطراف آن ما نیز مبتلا میشویم
170,momkene hichchi nayad.,ممکنه هيچي گيرمون نياد
1480,"in moshkelaat daashtand etemaad be nafs, tavaane rahbari va khalaaghiyatam raa tahlil mibordand.",این مشکلات داشتند اعتماد به نفس، توان رهبری و خلاقیتم را تحلیل میبردند
710,salaam man dokhtari hastam az jonoobam az khoozestaan,سلام من دختری هستم از جنوبم از خوزستان
1701,shookhi kardim moones khaanom.,شوخی کردیم مونس خانم.
1525,nemitoonim baa ham baashim.,.نمیتونیم با هم باشیم
579,pas betor e kholase dar hal e hazer ma dar se saal tahaghogh e amali e tosee paydar bayad yek khata rasm konim va natije begirim ke be ghol hayeman amal nemikonim.,پس، بطور خلاصه: در حال حاضر، ما در سه سال تحقق عملی اهداف توسعه پایدار باید یک خط رسم کنیم و نتیجه بگیریم که به قولهایمان عمل نمیکنیم،
1433,mitavaanim in kaar raa bokonim?,میتوانیم اینکار را بکنیم؟
337,"madar bozorg miguyad: in digar jayeshan ra balad ast, miayad hameshan ra mibarad.",مادربزرگ می گه این دیگه جاشو یاد گرفته، میاد همشونو می بره
813,havaa dam karde bood az bas dood maashin haa too shahr boland shode bood,هوا دم کرده بود از بس دود ماشینا تو شهر بلند شده بود
140,ma kheyli bozorg boodim.,ما خيلي بزرگ بوديم
1671,sokhangooye shabakeye khabariye CBS ke shabakei meli va televiziyooni dar aamrikaa ast dar bakhshe khabare khod elaam kard.,سخنگوی شبکه خبری CBS که شبکهای ملی و تلویزیونی در آمریکاست در بخش خبر خود اعلام کرد
1519,hodoode saa'at dah kojaa boodi?,حدود ساعت ده کجا بودی؟
40,choun on naghsh kheili khoubeh.,چون اون نقش خيلي خوبه
1843,pas az emtiyaazetaan baraaye ijaade taghir estefaade konid.,پس از امتیازتان برای ایجاد تغییر استفاده کنید
1091,doost daashti baashe imaan.,دوست داشتی باشه ایمان
1801,hes mikonam in baabaa az tarkibe amirhoseyn rostami va amoo poorang be vojood oomade.,حس میکنم این بابا از ترکیب امیرحسین رستمی و عمو پورنگ بوجود اومده
1734,in ye haftei ke gozasht aslan ghashang nabood.,این یه هفته ای که گذشت اصلا قشنگ نبود
956,vaaghean baavar nakardani ast,واقعا باورنکردنيه
1550,chetor be nazar mirese vaghti.,چطور به نظر میرسه وقتی
63,taghriban sad o panjah gaz dourtar az jadeh.,تقریبا صدو پنجاه گز دورتر از جاده
796,in zan goft yek kam garme kaash bokhaari raa khaamoosh monim,یه زنه گفت یکم گرمه، کاش بخاری رو خاموش کنی
1228,emkaan nadaare alaan kojaayi?,امکان نداره کجایی الان؟
385,arousi saat e sheh shorou mishavad.,عروسي ساعت 6 شروع ميشه
132,daghighan mesle zanam marin.,دقيقا مثل زن عمو مارين
1012,aaghaa ham ghabool kard!,آقاهم قبول کرد!
183,mosallaman oon kar ro mikonim.,من اینو از تو یکی از کتابای کتابخونه کندم
1546,oon mesle baghiye mardom nist.,اون مثل بقیه مردم نیست
839,midaani? aslan mohem nist,ميدوني، اصلا مهم نيست
1841,"hamsaaye saakhtemoon baghalimoon, ye aaghaaye besyaar moadab va aaghaast.",همسایه ساختمون بغلیمون،یه آقای بسیار مودب و آقاست
534,yek zan e iraniol aasl tavanest vared e parleman e felorida shavad.,یه زن ایرانی الاصل تونست وارد پارلمان فلوریدا بشه
277,in zang ojagh gaz hast?,اين زنگ اجاق گاز هست؟
1250,mitoonam in kaar ro bokonam.,میتونم این کار رو بکنم
91,az code takhfif estefadeh kon.,از کد تخفیف استفاده کن
515,az zamani ke tahdid ash kardand va leh ash kardand ta emrooz ke khob darid mibinid.,از زمانی که تهدیدش کردنو لهش کردن تا امروز که خب دارید می بینید
1551,be onvaane mashoogheye man.,به عنوان معشوقه من.
333,manam goftam mamnoon.,منم گفتم ممنون
196,in alan aslan mohem nist.,اين الان اصلا مهم نيست
1002,dige jaaye tekoon khordan ham nadaare. shode andaaze ye gaav. shaayadam bishtar.,دیگه جای تکون خوردن هم نداره. شده اندازه یه گاو. شایدم بیشتر.
417,chon mahsa kharchang e to ast.,چون مهسا خرچنگ تو هست
176,kar ro bedoon tou anjam bedam?,کارو بدون تو انجام بدم
1313,taa in mard baa inheybatesh reise in ghalamrove man chikaaream?,تا این مرد با این هیبتش رئیس این قلمروه من چیکاره ام؟
282,vaghti hourouf seda dar ro touye figilish neveshtan tayp nemikounid.,وقتی حروف صدا دار رو توی فینگلیش نوشتن تایپ نمیکنید
1600,amaa dar morede ensaan haaye khoob chetor? aayaa nezaakat tasiri daarad? bale daarad.,اما در مورد انسانهای خوب چطور؟ آیا نزاکت تاثیری دارد؟ بله دارد
389,fekr konam hagh ba joei boud.,فکر کنم حق با جويي بود
84,dar na omidi kamel yek maghaleh khandam dar moured mofit kar sami va riz khoshounat ha.,در ناامیدی کامل، یک مقاله خواندم در مورد فرهنگ محیط کار سمی و ریزخشونتها
347,man az to soal mikonam va.,من از تو سوال مي کنم و
1477,taa aan kaar raa bepazirand taa forsat haaye jadidi bedast aavarand.,تا آن کار را بپذیرند تا فرصتهای جدیدی بدست آورند
1047,pesari ke alaan 45 saal daare amaa baa bozorgtar shodane senesh marefatesh ziyaad nashode.,پسری که الان 45 سال داره اما بابزرگتر شدن سنش معرفتش زیاد نشده
634,akhe ba in gerooni e sigar man ta filter e sigar ra nakesham fekram aroom nemishavad.,اخه با این گرونی سیگار من تا فیلتر سیگار رو هم نکشم که فکرم اروم نمیشه
128,gostareye daghdaghehayeman ziad shodeh ast.,و کنار آبشار زندگی کنه
1580,in kaaro behtar nemikone.,.این کارو بهتر نمی کنه
290,yad begirin bebinin chetori az pesar hash harf mizaneh.,یاد بگیرین، ببینین چجوری از پسرش حرف می زنه.
1191,chon maa taarikhi toolani az sarkoob va naa baraabari daarim pas maa niyaaz daarim baa ham rooye aan kaar konim.,چون ما تاریخی طولانی از سرکوب و نابرابری داریم پس ما نیاز داریم با هم روی آن کار کنیم
1254,in tajrobe raa daashtim.,این تجربه را داشتیم
1251,khodaaye man! shomaahaa saalemin?,خدای من! شماها سالمین؟
1633,tanhaayi va sokoot roo pishooni man hak shode.,تنهایی وسکوت رو پیشونی من حک شده
194,vase pardakht poul bashgah.,واسه پرداخت پول باشگاه
1845,mardom khashmnaak hastand.,مردم خشمناک هستند
1066,maa tasmim gereftim sharaayete barnaamehaaye mahboob bar rooye gooshihaaye motavaset raa bekhaanim.,ما تصمیم گرفتیم شرایط برنامههای محبوب بر روی گوشیهای متوسط را بخوانیم
1132,vali mota'asefaane movafagh be faraar shod.,ولی متأسفانه موفق به فرار شد
1333,man baa dani gharaar daaram.,من با دنی قرار دارم
975,ghol midid velash nakonid,قول میدین ولش نکنین؟
1687,"bad raftaari baa kaargar haa, seyl, khoshksaali va ghahti.",بدرفتاری با کارگرها، سیل، خشکسالی و قحطی
42,amadin hosein ra nejat bedin?,اومدین حسن رو نجات بدین؟
1894,az kheyli haa shenidam ke migan.,از خیلی هاشنیدم که میگن
255,"yeki dare migeh raft bala, yeki migeh mikeshe paein, yeki migeh ina bazi shouneh.",یکی داره میگه رفت بالا، یکی میگه میکشه پایین، یکی میگه اینا بازیشونه
1355,baa majid baraa shekaar rafte boodam aafrighaa.,با مجید برا شکار رفته بودم افریقا
1057,kiristiyano ronaaldo baraaye kharide in gorbe 2600 pond hazine karde ast.,کریستیانو رونالدو برای خرید این گربه ۲۶۰۰ پوند هزینه کرده!
129,dar kenare abshar zendegi kone.,قلمه چیه. خواستگاری کدومه. حالت خوش نیست ها.
1214,filmaaye doorbin makhfi haa shoono didin?,فیلمای دوربین مخفی هاشونو دیدین؟
736,cheraa baraaye goldaani ke vaght va zahmat bishtari borde ast hamaan pool goldaan saade raa migiri?,چرا برای گلدانی که وقت و زحمت بیشتری برده است همان پول گلدان ساده را می گیری؟
1496,az chaale man estefaade koni.,از چاله من استفاده کنی
837,man ham migoftam baashad ghabool ast,منم ميگفتم باشه قبوله
1273,paasokh daad: dar in nazdiki cheshmeye aabi hast va man moratab noke khod raa por az aab mikonam va aan raa rooye aatash mirizam.,پاسخ داد : در این نزدیکی چشمه ابی هست و من مرتب نوک خود را پر از اب می کنم و ان را روی اتش می ریزم !
697,to baa in haa zediat daari,تو با اينها ضديت داري
1652,oon haa aslan dark  nemikonan.,اونها اصلا درک نمی کنن
1131,bish az hezaar o chaahaar sad saal pish koodaki dar shahre make cheshm be jahaan goshood.,بیش از هزار و چهار صد سال پیش کودکی در شهر مکه چشم به جهان گشود
1806,"kaare maa be onvaane hampeymaan, shenidan, aamokhtan, sarfe nazar kardan va baaz aamoozi va yaad gereftane modaavem as eshtebaahaat ast.",کار ما به عنوان همپیمان، شنیدن، آموختن، صرف نظر کردن و بازآموزی و یاد گرفتن مداوم از اشتباهات است
391,chi dari mikhary inja.,چي داري مي خري اينجا؟
1097,barnaame daari gharaar nemidi.,برنامه داری قرار نمیدی
1654,"kheyli khob, yani to migi?",خیله خب ، یعنی تو میگی
77,ba in agahi ke daram eshtebaham roo tekrar nemikonam.,با این آگاهی که دارم،اشتباهم رو تکرار نمیکنم
619,yadat hast behet migoftam agar to beravi mimiram.,یادته بهت می گفتم اگه تو بری می میرم
1772,looks forooshi ghadam mizadim.,لوکس فروشی قدم می زدیم
500,in be haghi ra nemidehad.,اين به تو حقي رو نميده
1741,to ke be khodet etemaad daashti jenaab.,تو که به خودت اعتماد داشتی جناب.
1247,baraaye khande neveshte boodam.,برای خنده نوشته بودم
970,shohar jaan daasht behesh migoft haani khoshgele va koli naazash raa mikeshid,شوهرجان داشت بهش میگفت هانی خوشگله و کلی نازشو میکشید:
947,rais bande khoshhaal mishavad agar shomaa biaaid,رئیس بنده خوشحال میشه اگه شما بیاین
596,barname dari gharar nemidi.,برنامه داري قرار نميدي
1404,in chand rooze baayad be tarze vahshatnaaki naghshe ye aadame shaad va khoshhaal ro baazi konam.,این چند روزه باید به طرز وحشتناکی نقش یه آدم شاد و خوشحال رو بازی کنم
1560,momken ast marze moshtarak daashte baashim.,ممکن است مرز مشترک داشته باشیم.
1747,"masalan bere too mehr maah, az no shoroo konam.",مثلا بره تو مهرماه،از نوع شروع کنم
1155,"maa baa in hame khoshoonat, shabaa koshtaar nadaarim.",ما با این همه خشونت، شبا کشتار نداریم.
1094,"baa chizaayi ke migam movaafeghin, na?",با چیزایی که میگم موافقین، نه؟
31,man ba saeed khob  bodam.,من با سعید خوب بودم
246,tou final bakhtim migeh ghahve ie shoudin.,تو فینال باختیم میگه قهوه ای شدین
1641,"in voroose siyaasi, pas az nofooz, be aaraami doshmane khod raa az daroon naabood mikard.",این ویروس سیاسی، پس از نفوذ، بهآرامی دشمن خود را از درون نابود میکرد
658,az jeloy man boro aan taraf,از جلوي من برو اونطرف
922,behet begooyand aashghaali khoob ast?,!بهت بگن آشغالي ، خوبه
1792,vali taraf kheyli zerange.,ولی طرف خیلی زرنگه
74,chahardah emteyaz darim va ba team aval jadval faghat dou emtiaz faseleh darim.,چهارده امتیاز داریم و با تیم سوم جدول فقط دو امتیاز فاصله داریم
919,mitavaanestim bish az haftaad va shesh pele so'ood knim,می توانستیم بیش از هفتاد و شش پله هم صعود کنیم
443,enghadr ke az nejabat va sherafatesh harf zad.,انقدر که از نجابت و شرافتش حرفه
244,ye dokhtar joloush ro gereft.,!يه دختر جلوش رو گرفت
372,to ashpaz khane miz naboud.,تو آشپزخونه ميز نبود؟
421,akhiran moze sakhtgiranei alayhe zendan haye khosusi dar amrica dashtam va cheghadr ham be ja boud.,اخیراً موضع سختگیرانهای علیه زندانهای خصوصی در آمریکا داشتند و چقدر هم بجا بود
349,oonaei ke migouyand pool cheshm e adam ra koor mikonad chizi rajeb e hormon nemidanand.,اونایی که میگن پول چشم آدمو کور میکنه چیزی دربارهی هورمون نمیدونند
1156,hengaami ke maadaram fahmid sakht maraa tanbih kard va maraa gheyre masool va bi havaas va.,هنگامی که مادرم فهمید سخت مرا تنبیه کرد و مرا غیر مسول و بی حواس و
1239,saahebe ye dokhtar mishodam va badesh hamsare azizam mimord.,صاحب یه دختر میشدم و بعدش همسرعزیزم میمرد
1919,khob inam az eftezaah tarin.,خب اینم از افتضاح ترین
931,to ki hasti ki to raa ferestaade?,تو کی هستی؟ کی تو رو فرستاده؟
336,"jaleb ast ke mard hayeshan chesm azashoon bar nemidashtand, haman mard haei ke roozi hezar bar az in zan ha doreshan faravan ast.",مثلا زنهای بد حجاب رو با حالتهای مختلف میذارن تا واکنشهای آدمهارو ببینن،جالبه که مرداشون چشم ازشون برنمیداشتن،همون مردایی که روزی هزاربار ازاین زنها تو اطرافشون فراوونه
758,vaghti miravam khaane az vaghti miresam taa vaghti ke bargardam yek riz harf mizanam,وقتی میرم خونه،ازوقتی میرسم تا وقتی که برگردم یه ریز حرف میزنم
1382,to az kojaa midooni nagoftan?,تو از کجا می دونی نگفتن؟
179,man dar mored sagha bayad begam sharmandeam.,در مورد سگا باید بگم شرمنده ام
1642,az jomle edeaa haayi.,ازجمله ادعاهایی
198,oh khodaye man chi shode?,اوه ، خداي من. چي شده؟
791,vaaghean moche paayam aasib dide ast,واقعا مچ پام آسيب ديده
1890,aslan harfesham nazanin bacham roosh nemishe.,اصلن حرفشم نزنین بچم روش نمی شه.
1138,kheyli sari bood sari bood.,خیلی سریع بود سریع بود
1914,"raftam aabshaare behesht, baraatoon kaart postaal mifrestam.",رفتم ابشار بهشت، براتون کارت پستال می فرستم
303,berin kenar baba piri darad meayad.,برین کنار بابا پیری داره میاد
1556,man intori fekr nemikonam.,من اینطوری فکر نمیکنم
1008,hoseleye anjaame kaarhaaye zaroori raa ham nadaarid?,حوصله انجام کارهای ضروری راهم ندارید؟
32,tamami in mavared dar doyaye emrouz etefagh mioftad.,تمامی این موارد در دنیای امروز اتفاق میافتد
612,mitoni yekam pool bechini.,ميتوني يه کم پول بچيني
1807,"chiye? monikaa, mitarsam!",!چیه؟ مونیکا ، می ترسم
1252,be doktor viner zang mizanam.,به دکتر وینر زنگ میزنم
357,inam chart e jalase ye jomee.,اينم چارت جلسه ي جمعه
402,man ghareman nabard e nahaei am?,من قهرمان نبرد نهائيم؟
420,ey kash majbour naboudam beram.,اي کاش مجبور نبودم برم
555,chizi ke fekr mikonid vaghti peer shodid mishid?,چیزی که فکر می کنید وقتی پیر شدید میشید
253,tejarat khobist.,تجارت خوبی است
523,az khane ye rast sar dar aavardam.,از خونه راس سر درآوردم
